Date,KO,PEP,spread
2014-05-08,28.586036682128906,62.19025802612305,-42.06176764727843
2014-05-09,28.68428611755371,62.55628204345703,-42.05405502435707
2014-05-12,28.64920425415039,62.38405227661133,-42.09834276954854
2014-05-13,28.85273551940918,62.59931182861328,-42.62535284124591
2014-05-14,28.69832992553711,62.31944274902344,-42.34211147235126
2014-05-15,28.438648223876953,61.530059814453125,-42.18444659720153
2014-05-16,28.69832992553711,62.10415267944336,-42.55740154193134
2014-05-19,28.57198715209961,61.78841018676758,-42.412377465022146
2014-05-20,28.48076057434082,61.4654655456543,-42.40262276651163
2014-05-21,28.68428611755371,61.78841018676758,-42.82192688104652
2014-05-22,28.48076057434082,61.41523742675781,-42.45285088540811
2014-05-23,28.48076057434082,61.59462356567383,-42.273464746492095
2014-05-27,28.614105224609375,62.09696960449219,-42.25742081585996
2014-05-28,28.48076057434082,62.48447799682617,-41.38361031533975
2014-05-29,28.536909103393555,62.958133697509766,-41.11472584465983
2014-05-30,28.71236801147461,63.38872146606445,-41.324029040819696
2014-06-02,28.67728042602539,63.05862808227539,-41.52615953490336
2014-06-03,28.69131088256836,63.30980682373047,-41.326149254889515
2014-06-04,28.62813949584961,63.212188720703125,-41.19338407312436
2014-06-05,28.69832992553711,63.45077133178711,-41.21078288958759
2014-06-06,28.768518447875977,63.559242248535156,-41.35828644436971
2014-06-09,28.71236801147461,63.624305725097656,-41.08844478178649
2014-06-10,28.82466697692871,63.92795181274414,-41.194348110164384
2014-06-11,28.67728042602539,63.46523666381836,-41.11955095336039
2014-06-12,28.581806182861328,63.06035614013672,-41.1762410874414
2014-06-13,28.546457290649414,63.03866958618164,-41.06901177735483
2014-06-16,28.75152587890625,63.29893493652344,-41.55662260045702
2014-06-17,28.93537139892578,63.103729248046875,-42.422304860629794
2014-06-18,29.3879337310791,64.27500915527344,-42.90149998759915
2014-06-19,29.550567626953125,65.14259338378906,-42.62703446513429
2014-06-20,29.479854583740234,64.41960144042969,-43.09213903227395
2014-06-23,29.508142471313477,63.90626525878906,-43.708639902826334
2014-06-24,29.592998504638672,63.66045379638672,-44.26391760789575
2014-06-25,29.670772552490234,64.04362487792969,-44.16438507770236
2014-06-26,29.720279693603516,64.0653076171875,-44.32325271706998
2014-06-27,29.833402633666992,64.17378997802734,-44.627324771621375
2014-06-30,29.953630447387695,64.59310913085938,-44.64647119770268
2014-07-01,29.904136657714844,64.44127655029297,-44.61780209176304
