Date,KO,PEP,spread,rolling_mean,rolling_std,z_score,signal,position,cumulative_returns
2017-09-19,36.06840896606445,90.75877380371094,-40.78113637487138,-38.50625193079639,1.6582097392374449,-1.371891860387417,0,1.0,0.4373049122924024
2017-09-20,35.91152572631836,90.03741455078125,-40.93034931316484,-38.61901935165424,1.7051174739628256,-1.3555253504844396,0,1.0,0.4389049547800247
2017-09-21,35.613433837890625,89.41908264160156,-40.4615531412129,-38.71500786906513,1.7256506800108071,-1.012108239737623,0,1.0,0.43387795241859034
2017-09-22,35.68403625488281,88.66600799560547,-41.47211171443965,-38.823930043419615,1.7940828537484261,-1.4760643107909512,0,1.0,0.4447143897402232
2017-09-25,35.840919494628906,88.73734283447266,-41.97292319020869,-38.96714941996696,1.8692346846264116,-1.6080237516256395,0,1.0,0.45008469910269494
2017-09-26,35.74678421020508,88.6343002319336,-41.73265852711825,-39.11739251969115,1.9052029553470806,-1.3726968038167142,0,1.0,0.44750828935153186
2017-09-27,35.01727294921875,88.07147216796875,-39.634990924787104,-39.19046772041584,1.8806398503772022,-0.23636806605055533,0,1.0,0.4250145476758764
2017-09-28,35.22905731201172,88.4995346069336,-39.97929679530955,-39.277484403732544,1.853644951615886,-0.3786120912557789,0,1.0,0.4287066137116663
2017-09-29,35.30751419067383,88.33306884765625,-40.43189136004145,-39.39312378693317,1.8120029766622814,-0.5732703458477182,0,1.0,0.4335598827479862
2017-10-02,35.142765045166016,86.50186157226562,-41.66226570646961,-39.54702042284509,1.8017597239069496,-1.1739885488381383,0,1.0,0.4467534519684635
2017-10-03,35.448707580566406,86.50981140136719,-42.77007492468945,-39.75421817605965,1.8031260091637198,-1.6725712641838821,0,1.0,0.45863272891055606
2017-10-04,35.69189453125,86.67626953125,-43.49050896905311,-39.984076011960774,1.825861919344487,-1.920426139535897,0,1.0,0.4663580983972444
2017-10-05,35.707576751708984,87.55620574951172,-42.66776512300044,-40.1756532373202,1.7945770664652487,-1.3886903673570956,0,1.0,0.4575356388627702
2017-10-06,35.68403625488281,87.51654052734375,-42.62157918270137,-40.34991388018799,1.7687646049008285,-1.2843231350396367,0,1.0,0.4570403770734476
2017-10-09,35.621280670166016,87.20741271972656,-42.70184011724359,-40.502004426952915,1.7682773268357321,-1.2440558146086746,0,1.0,0.45790103236803914
2017-10-10,35.98212432861328,87.81777954101562,-43.407454338127,-40.68367198013362,1.7777747823051697,-1.5321301579391096,0,1.0,0.4654674856943821
2017-10-11,36.16255569458008,88.3965072631836,-43.48675191713053,-40.87301703947253,1.7631968365699648,-1.4823840557374375,0,1.0,0.466317810719962
2017-10-12,36.17039489746094,89.14163208007812,-42.77021633032348,-41.047190741707944,1.6791894376743046,-1.0261055423275791,0,1.0,0.4586342452336377
2017-10-13,36.22528839111328,89.27641296386719,-42.83562961731724,-41.22373452147039,1.5727083674026212,-1.0249167164468924,0,1.0,0.45933568600440516
2017-10-16,36.570457458496094,90.02947235107422,-43.34138672414184,-41.39828369370231,1.5037001308400506,-1.2922144452790632,0,1.0,0.4647590284343006
2017-10-17,36.49200820922852,88.93551635742188,-44.14924173640787,-41.587308322979084,1.4802498522997716,-1.7307439074886406,0,1.0,0.47342183179604463
2017-10-18,36.39788055419922,88.7452621459961,-43.99621650627236,-41.78013199616642,1.3999312726066075,-1.5829952180293083,0,1.0,0.4717809092815811
2017-10-19,36.54692077636719,89.31603240966797,-43.968989415115146,-41.95868534836513,1.3213692041974123,-1.5213795359874889,0,1.0,0.47148894731659236
2017-10-20,36.38217926025391,88.47575378417969,-44.20846293570921,-42.09180272707936,1.340660290068484,-1.5788192014859495,0,1.0,0.47405687347630254
2017-10-23,36.335105895996094,88.53916931152344,-43.97337290749954,-42.21344434279401,1.3402965409233738,-1.313088940372146,0,1.0,0.4715359524499234
2017-10-24,36.22528839111328,87.79399108886719,-44.31805149231724,-42.30942080492298,1.385246610942227,-1.4500166768341805,0,1.0,0.4752320151814085
2017-10-25,36.123321533203125,87.25496673583984,-44.48520717369584,-42.38224556977555,1.441062822958446,-1.4593129254441481,0,1.0,0.4770244615691822
2017-10-26,36.26452255249024,87.7781753540039,-44.47695249795896,-42.48511506719283,1.477541090087808,-1.3480758295850577,0,1.0,0.47693594490265445
2017-10-27,36.13899612426758,87.67508697509766,-44.12225148257889,-42.5869273284242,1.4817440930139105,-1.0361601314244435,0,1.0,0.4731324094887569
2017-10-30,35.974273681640625,86.92200469970703,-44.27459821324578,-42.704190955071745,1.4710697562593766,-1.0675273905210683,0,1.0,0.47476605630722496
2017-10-31,36.06840896606445,87.38179779052734,-44.158112388054974,-42.81675682217787,1.447863550765082,-0.9264378298412863,0,1.0,0.4735169537049796
2017-11-01,35.927207946777344,87.30253601074219,-43.72242022541295,-42.90982585258613,1.4117095843357024,-0.5756101551220905,0,1.0,0.46884493276816086
2017-11-02,35.98996353149414,87.2391128540039,-44.01471025522619,-43.028264423053244,1.3467802471510044,-0.732447505270208,0,1.0,0.47197922173638546
2017-11-03,36.06057357788086,87.37385559082031,-44.13747926970862,-43.11711000822888,1.328372535158345,-0.7681348676469835,0,1.0,0.473295700331218
2017-11-06,35.668357849121094,86.61285400390625,-43.46808724596392,-43.16694881008738,1.311910143770154,-0.22954196772282726,0,1.0,0.4661176654294421
2017-11-07,36.03704452514648,87.57205200195312,-43.85347343221108,-43.23764264025714,1.2888960452279654,-0.4777970994899115,0,1.0,0.4702502445421557
2017-11-08,36.22528839111328,88.78492736816406,-43.32711521302036,-43.36071344986492,1.0946712729635473,0.030692535443627225,0,1.0,0.46460599194552094
2017-11-09,36.26452255249024,88.37268829345703,-43.88243955850584,-43.490818208638125,0.8921352296745659,-0.43897083854716556,0,1.0,0.470560854555627
2017-11-10,36.507694244384766,89.37945556640625,-43.76250881166664,-43.601838790358975,0.6804731620669451,-0.23611514790624416,0,1.0,0.46927481131628285
2017-11-13,36.648902893066406,90.40206909179688,-43.254877052771405,-43.654925835235694,0.5784092237692164,0.6916362430345806,0,1.0,0.4638313665883104
2017-11-14,37.20585250854492,91.76556396484376,-43.922553071209336,-43.69334177345302,0.5554292949311891,-0.41267412404797893,0,1.0,0.47099100039544123
2017-11-15,36.7194938659668,91.24235534667967,-42.67203298901691,-43.666059240785145,0.5850478830190546,1.6990511043962842,0,1.0,0.4575814041096445
2017-11-16,36.51554489135742,91.3454132080078,-41.82518213625488,-43.63797314122697,0.6511189900274204,2.784116317811203,-1,-1.0,0.44758527713976837
2017-11-17,35.85661315917969,90.909423828125,-39.858076304867694,-43.54585637863251,0.9339334819427941,3.9486538870984593,-1,-1.0,0.46863593522982605
2017-11-20,35.66050720214844,91.09173583984376,-38.960574443836606,-43.42114752285227,1.2476266948711126,3.5752465840565164,-1,-1.0,0.4791884170103742
2017-11-21,35.91152572631836,91.99542999267578,-38.97233387127031,-43.27331017395706,1.488770352062604,2.888945428506148,-1,-1.0,0.4790437840962721
2017-11-22,35.95860290527344,91.22652435302734,-39.91292792381876,-43.15418270751333,1.6092142928140478,2.014184685140071,-1,-1.0,0.46748210201380835
2017-11-24,35.98996353149414,91.87653350830078,-39.37728960092932,-43.04108514986685,1.7501852926445989,2.0933758067418045,-1,-1.0,0.47375579182131744
2017-11-27,36.00564956665039,91.8369140625,-39.47411533097326,-42.92903467365539,1.8674684194861024,1.8500550299173806,0,-1.0,0.4725908627246088
2017-11-28,35.95075607299805,92.56621551513672,-38.54461970755369,-42.76914243976912,2.0292839336971555,2.0817800121832937,-1,-1.0,0.4837189433639722
2017-11-29,35.69189453125,92.62169647216795,-37.54508202813514,-42.549003782826695,2.223340973824237,2.2506317355743253,-1,-1.0,0.49626272544845507
2017-11-30,36.19804000854492,93.00882720947266,-39.00384171209387,-42.38259128968742,2.296902437356999,1.471002652372735,0,-1.0,0.4769811573327376
2017-12-01,36.3562126159668,93.21636962890624,-39.37314787482427,-42.22939657167772,2.3402998290189574,1.2204627208176033,0,-1.0,0.472464882187086
2017-12-04,36.56182861328125,93.7591552734375,-39.58023478063117,-42.07512229984177,2.3578221496707554,1.0581321918444886,0,-1.0,0.4699799071257674
